Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/2/2022,1,1,56,Contact Center Team,Viber,Female,Shan (South),Myitkyina
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/9/2022,1,1,21.33,Contact Center Team,Viber,Female,Shan (South),Hinthada
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/26/2022,1,1,57,Contact Center Team,Viber,Female,Shan (South),Nyaunglebin
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/31/2022,1,1,13.33,Contact Center Team,Viber,Female,Shan (South),Gyobingauk
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/16/2022,1,1,14.33,Contact Center Team,Viber,Female,Shan (South),Hinthada
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/22/2022,1,1,20.67,Contact Center Team,Viber,Female,Shan (South),Maubin
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,8,Contact Center Team,Viber,Female,Shan (South),Ingapu
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/29/2022,1,1,38.33,Contact Center Team,Viber,Female,Shan (South),Daik-U
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/13/2023,1,1,57,Contact Center Team,Viber,Female,Shan (South),Kyangin
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/19/2023,1,1,11.33,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/30/2023,1,1,32,Contact Center Team,Viber,Female,Shan (South),Bogale
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/1/2023,1,1,33.33,Contact Center Team,Viber,Female,Shan (South),Okpho
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/8/2023,1,1,13,Contact Center Team,Viber,Female,Shan (South),Ngapudaw
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,19,Contact Center Team,Viber,Female,Shan (South),Taungoo
Sesame,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/29/2021,1,1,9.33,Contact Center Team,Viber,Male,Shan (South),Dedaye
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/12/2022,1,1,11.67,Contact Center Team,Viber,Female,Shan (South),Yedashe
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/12/2022,1,1,7.67,Contact Center Team,Viber,Female,Shan (South),Yedashe
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/18/2022,1,1,31,Contact Center Team,Viber,Female,Shan (South),Ingapu
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/23/2022,1,1,11.5,Contact Center Team,Viber,Female,Shan (South),Bogale
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/23/2022,1,1,5,Contact Center Team,Viber,Female,Shan (South),Bogale
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/25/2022,1,1,59,Contact Center Team,Viber,Female,Shan (South),Pyay
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/31/2022,1,1,46,Contact Center Team,Viber,Female,Shan (South),Gyobingauk
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,17.67,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/12/2022,1,1,26.33,Contact Center Team,Viber,Female,Shan (South),Myanaung
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,29.33,Contact Center Team,Viber,Female,Shan (South),Gyobingauk
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/16/2022,1,1,9,Contact Center Team,Viber,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/16/2022,1,1,27.33,Contact Center Team,Viber,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,13,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,22.67,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/22/2022,1,1,39,Contact Center Team,Viber,Female,Shan (South),Maubin
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/29/2022,1,1,26.33,Contact Center Team,Viber,Female,Shan (South),Myanaung
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,20.67,Contact Center Team,Viber,Female,Shan (South),Ingapu
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,11.67,Contact Center Team,Viber,Female,Shan (South),Ingapu
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/25/2022,1,1,17,Contact Center Team,Viber,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,52,Contact Center Team,Viber,Female,Shan (South),Pantanaw
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/28/2022,1,1,34,Contact Center Team,Viber,Female,Shan (South),Nyaunglebin
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/11/2022,1,1,35,Contact Center Team,Viber,Female,Shan (South),Myanaung
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/25/2022,1,1,42,Contact Center Team,Viber,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/25/2022,1,1,12.33,Contact Center Team,Viber,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/17/2023,1,1,28.67,Contact Center Team,Viber,Female,Shan (South),Bago
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/17/2023,1,1,19,Contact Center Team,Viber,Female,Shan (South),Bago
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/25/2023,1,1,13,Contact Center Team,Viber,Female,Shan (South),Einme
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,38.33,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/15/2021,1,1,26.33,Contact Center Team,Viber,Male,Shan (South),Pauk
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/13/2022,1,1,55,Contact Center Team,Viber,Male,Shan (South),Kyangin
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,17.67,Contact Center Team,Viber,Female,Shan (South),Einme
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/23/2022,1,1,10,Contact Center Team,Viber,Female,Shan (South),Bogale
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,47,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/21/2022,1,1,19,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/19/2022,1,1,11,Contact Center Team,Viber,Female,Shan (South),Bogale
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,12.67,Contact Center Team,Viber,Female,Shan (South),Ingapu
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,9,Contact Center Team,Viber,Female,Shan (South),Ingapu
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/27/2022,1,1,26,Contact Center Team,Viber,Female,Shan (South),Nyaungdon
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/29/2022,1,1,23,Contact Center Team,Viber,Female,Shan (South),Daik-U
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/27/2023,1,1,17,Contact Center Team,Viber,Female,Shan (South),Mawlamyinegyun
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/15/2022,1,1,19.33,Contact Center Team,Viber,Female,Shan (South),Pyay
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/10/2022,1,1,40,Contact Center Team,Viber,Female,Shan (South),Pathein
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/24/2022,1,1,8,Contact Center Team,Viber,Female,Shan (South),Bogale
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,31.33,Contact Center Team,Viber,Female,Shan (South),Gyobingauk
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,35,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/22/2022,1,1,7,Contact Center Team,Viber,Female,Shan (South),Maubin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,34.33,Contact Center Team,Viber,Female,Shan (South),Ingapu
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,25,Contact Center Team,Viber,Female,Shan (South),Ingapu
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/28/2022,1,1,29.67,Contact Center Team,Viber,Female,Shan (South),Nyaunglebin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/2/2022,1,1,52,Contact Center Team,Viber,Female,Shan (South),Shwegyin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/15/2022,1,1,18.67,Contact Center Team,Viber,Female,Shan (South),Hinthada
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/24/2022,1,1,5.67,Contact Center Team,Viber,Female,Shan (South),Wakema
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/24/2022,1,1,34.67,Contact Center Team,Viber,Female,Shan (South),Wakema
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/24/2022,1,1,25.33,Contact Center Team,Viber,Female,Shan (South),Wakema
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/29/2022,1,1,5,Contact Center Team,Viber,Female,Shan (South),Daik-U
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/29/2022,1,1,34.33,Contact Center Team,Viber,Female,Shan (South),Daik-U
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/30/2022,1,1,30.33,Contact Center Team,Viber,Female,Shan (South),Salin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/30/2022,1,1,25,Contact Center Team,Viber,Female,Shan (South),Salin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/17/2023,1,1,13.33,Contact Center Team,Viber,Female,Shan (South),Bago
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/19/2023,1,1,5,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/19/2023,1,1,12.67,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/20/2023,1,1,23,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/23/2023,1,1,19,Contact Center Team,Viber,Female,Shan (South),Danubyu
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/25/2023,1,1,44,Contact Center Team,Viber,Female,Shan (South),Einme
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,3,Contact Center Team,Viber,Male,Shan (South),Dedaye
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,32.33,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/13/2022,1,1,34,Contact Center Team,Viber,Male,Shan (South),Kyangin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/29/2022,1,1,3,Contact Center Team,Viber,Female,Shan (South),Pyay
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,25.67,Contact Center Team,Viber,Female,Shan (South),Kangyidaunt
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/25/2022,1,1,22,Contact Center Team,Viber,Female,Shan (South),Hinthada
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/10/2022,1,1,25.67,Contact Center Team,Viber,Female,Shan (South),Mawlamyinegyun
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/24/2022,1,1,24,Contact Center Team,Viber,Female,Shan (South),Wakema
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/24/2022,1,1,18,Contact Center Team,Viber,Female,Shan (South),Wakema
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/29/2022,1,1,13,Contact Center Team,Viber,Female,Shan (South),Daik-U
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/12/2023,1,1,18,Contact Center Team,Viber,Female,Shan (South),Thabaung
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/12/2023,1,1,13,Contact Center Team,Viber,Female,Shan (South),Thabaung
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/19/2023,1,1,26.33,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/19/2023,1,1,3.67,Contact Center Team,Viber,Female,Shan (South),Kyaiklat
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/24/2023,1,1,1,Contact Center Team,Viber,Female,Shan (South),Daik-U
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/24/2023,1,1,29,Contact Center Team,Viber,Female,Shan (South),Daik-U
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/31/2023,1,1,24.67,Contact Center Team,Viber,Female,Shan (South),Ingapu
Potato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/21/2022,1,1,25.67,Contact Center Team,Viber,Female,Shan (South),Ingapu
Potato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,11/2/2022,1,1,3,Contact Center Team,Viber,Female,Shan (South),Shwegyin
Potato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/11/2023,1,1,25,Contact Center Team,Viber,Female,Shan (South),Einme
Potato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,1/27/2023,1,1,25.67,Contact Center Team,Viber,Female,Shan (South),Mawlamyinegyun
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/8/2021,1,1,18.67,Contact Center Team,Viber,Male,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2021,1,1,11,Contact Center Team,Viber,Female,Shan (South),Salin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,3,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,13,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,26.33,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,20.33,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,27,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2021,1,1,28.67,Contact Center Team,Viber,Male,Shan (South),Khin-U
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/16/2021,1,1,28,Contact Center Team,Viber,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/22/2021,1,1,3.33,Contact Center Team,Viber,Male,Shan (South),Salin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/24/2021,1,1,5,Contact Center Team,Viber,Male,Shan (South),Kale
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/24/2021,1,1,26.67,Contact Center Team,Viber,Male,Shan (South),Kale
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/27/2021,1,1,43,Contact Center Team,Viber,Female,Shan (South),Zalun
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/28/2021,1,1,8,Contact Center Team,Viber,Male,Shan (South),Wakema
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/29/2021,1,1,21.33,Contact Center Team,Viber,Male,Shan (South),Kyaunggon
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/25/2021,1,1,55,Contact Center Team,Viber,Female,Shan (South),Letpadan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/30/2021,1,1,6,Contact Center Team,Viber,Female,Shan (South),Bilin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,12/6/2021,1,1,51,Contact Center Team,Viber,Female,Shan (South),Letpadan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,12/9/2021,1,1,28.67,Contact Center Team,Viber,Female,Shan (South),Nattalin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,12/9/2021,1,1,30,Contact Center Team,Viber,Female,Shan (South),Nattalin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,12/10/2021,1,1,28.33,Contact Center Team,Viber,Female,Shan (South),Myitkyina
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/19/2022,1,1,26,Contact Center Team,Viber,Male,Shan (South),Zalun
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,2/7/2022,1,1,22,Contact Center Team,Viber,Female,Shan (South),Lemyethna
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/4/2022,1,1,2,Contact Center Team,Viber,Male,Shan (South),Taungoo
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/4/2022,1,1,56,Contact Center Team,Viber,Male,Shan (South),Taungoo
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/5/2022,1,1,2,Contact Center Team,Viber,Male,Shan (South),Wakema
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/6/2022,1,1,10.33,Contact Center Team,Viber,Male,Shan (South),Sinbaungwe
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/6/2022,1,1,28,Contact Center Team,Viber,Male,Shan (South),Sinbaungwe
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/7/2022,1,1,19,Contact Center Team,Viber,Male,Shan (South),Kangyidaunt
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/8/2022,1,1,23.33,Contact Center Team,Viber,Male,Shan (South),Myingyan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/8/2022,1,1,4.67,Contact Center Team,Viber,Male,Shan (South),Myingyan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/21/2022,1,1,27,Contact Center Team,Viber,Female,Shan (South),Bogale
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/29/2022,1,1,32.67,Contact Center Team,Viber,Female,Shan (South),Monywa
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/3/2022,1,1,14,Contact Center Team,Viber,Female,Shan (South),Myingyan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/3/2022,1,1,31,Contact Center Team,Viber,Female,Shan (South),Myingyan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/3/2022,1,1,15,Contact Center Team,Viber,Female,Shan (South),Myingyan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/8/2022,1,1,29,Contact Center Team,Viber,Female,Shan (South),Pwintbyu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/10/2022,1,1,16,Contact Center Team,Viber,Female,Shan (South),Natmauk
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/10/2022,1,1,44,Contact Center Team,Viber,Female,Shan (South),Natmauk
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,24,Contact Center Team,Viber,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,24.33,Contact Center Team,Viber,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,27,Contact Center Team,Viber,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,5,Contact Center Team,Viber,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,23.67,Contact Center Team,Viber,Female,Shan (South),Aunglan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,59,Contact Center Team,Viber,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,25.67,Contact Center Team,Viber,Female,Shan (South),Minbu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,23.33,Contact Center Team,Viber,Female,Shan (South),Bago
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,5,Contact Center Team,Viber,Female,Shan (South),Aung Lan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,22,Contact Center Team,Viber,Female,Shan (South),Kyaukkyi
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,17,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,15.67,Contact Center Team,Viber,Female,Shan (South),Magway
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,46,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,49,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,45,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,45,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,44,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,43,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,41,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,42,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,39,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,38,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,37,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,36,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,37,Contact Center Team,Viber,Female,Shan (South),Kyaukpadaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,12,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,1,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,25.33,Contact Center Team,Viber,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,3,Contact Center Team,Viber,Female,Shan (South),Myitkyina
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/28/2022,1,1,16,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/13/2022,1,1,21,Contact Center Team,Viber,Female,Shan (South),Nyaungdon
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/21/2022,1,1,19.33,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/21/2022,1,1,17.33,Contact Center Team,Viber,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,15,Contact Center Team,Viber,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,13,Contact Center Team,Viber,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/3/2022,1,1,12.67,Contact Center Team,Viber,Female,Shan (South),Mahlaing
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/9/2022,1,1,11.33,Contact Center Team,Viber,Female,Shan (South),Salin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/22/2022,1,1,33.33,Contact Center Team,Viber,Female,Shan (South),Kawa
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,11/25/2022,1,1,1,Contact Center Team,Viber,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/12/2023,1,1,32,Contact Center Team,Viber,Female,Shan (South),Pinlaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/12/2023,1,1,23.33,Contact Center Team,Viber,Female,Shan (South),Pinlaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/13/2023,1,1,11,Contact Center Team,Viber,Female,Shan (South),Kani
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/13/2023,1,1,21.67,Contact Center Team,Viber,Female,Shan (South),Kani
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/20/2023,1,1,12,Contact Center Team,Viber,Female,Shan (South),Wakema
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/30/2023,1,1,23,Contact Center Team,Viber,Female,Shan (South),Mawlamyinegyun
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,1/31/2023,1,1,3,Contact Center Team,Viber,Female,Shan (South),Pakokku
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,9,Contact Center Team,Viber,Female,Shan (South),Mohnyin
